tag_number,code.notes
817,", must have lost tag"
421,sdlg (1)
371,1 new infl
171,1 new infl + 1 old infl
134,1 old infl
354,dead (2)
88,2 old infl 
816,2 old infls
413,ULY (3)
245,3 old infl
909,not on list (40)
610,no tag (50)
360,plant missing (60)
46,under treefall (80)
88,under branchfall (90)
780,actualkly in c8
845,actually  B5
813,actually in A6
836,could be 1333
835,could be 378
812,could be 680?
832,could be one of missing
856,dead
770,"dead, not on list"
243,e E6
272,its in C2
430,missing
825,must be one of missing
1366,not on list
318,not on list. must be313
98,not on list. must be96
46,pvc stake not on list
860,sdlg
382,should be c5
46,this number belongs to a pvc in a6
813,ULY?
213,under branch
814,"under branch, must have lost tag"
334,under fallen trunk
960,under treefall 
818,"under treefall , must have lost tag"
859,under trunk
