"HA.plot","plot","habitat","ranch","bdffp_reserve_no","tag_number","row","column","year","code.notes"
"FF-7","5754","10-ha","PortoAlegre",3209,"17","C","4",1999,"under treefall (80)"
"FF-7","5754","10-ha","PortoAlegre",3209,"46","B","4",1999,"under treefall (80)"
"FF-7","5754","10-ha","PortoAlegre",3209,"264","D","4",1999,"under treefall (80)"
"FF-7","5754","10-ha","PortoAlegre",3209,"292","D","4",1999,"under treefall (80)"
"FF-7","5754","10-ha","PortoAlegre",3209,"323","C","4",1999,"under treefall (80)"
"FF-7","5754","10-ha","PortoAlegre",3209,"334","B","4",1999,"under treefall (80)"
"FF-7","5754","10-ha","PortoAlegre",3209,"336","B","4",1999,"under treefall (80)"
"FF-7","5754","10-ha","PortoAlegre",3209,"338","D","4",1999,"under treefall (80)"
"FF-7","5754","10-ha","PortoAlegre",3209,"342","B","4",1999,"under treefall (80)"
"FF-7","5754","10-ha","PortoAlegre",3209,"347","C","4",1999,"under treefall (80)"
"FF-7","5754","10-ha","PortoAlegre",3209,"1316","B","4",1999,"under treefall (80)"
"FF-7","5754","10-ha","PortoAlegre",3209,"1390","C","4",1999,"under treefall (80)"
"FF-7","5754","10-ha","PortoAlegre",3209,"17","C","4",2000,"under treefall (80)"
"FF-7","5754","10-ha","PortoAlegre",3209,"88","A","9",2000,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"131","B","7",2000,"under treefall (80)"
"FF-7","5754","10-ha","PortoAlegre",3209,"242","B","6",2000,"under treefall (80)"
"FF-7","5754","10-ha","PortoAlegre",3209,"245","A","5",2000,"under treefall (80)"
"FF-7","5754","10-ha","PortoAlegre",3209,"255","A","5",2000,"under treefall (80)"
"FF-7","5754","10-ha","PortoAlegre",3209,"262","A","5",2000,"under treefall (80)"
"FF-7","5754","10-ha","PortoAlegre",3209,"274","B","6",2000,"under treefall (80)"
"FF-7","5754","10-ha","PortoAlegre",3209,"289","E","4",2000,"under treefall (80)"
"FF-7","5754","10-ha","PortoAlegre",3209,"290","E","4",2000,"under treefall (80)"
"FF-7","5754","10-ha","PortoAlegre",3209,"318","A","6",2000,"under treefall (80)"
"FF-7","5754","10-ha","PortoAlegre",3209,"319","A","6",2000,"under treefall (80)"
"FF-7","5754","10-ha","PortoAlegre",3209,"320","A","5",2000,"under treefall (80)"
"FF-7","5754","10-ha","PortoAlegre",3209,"323","C","4",2000,"under treefall (80)"
"FF-7","5754","10-ha","PortoAlegre",3209,"336","B","4",2000,"under treefall (80)"
"FF-7","5754","10-ha","PortoAlegre",3209,"342","B","4",2000,"under treefall (80)"
"FF-7","5754","10-ha","PortoAlegre",3209,"360","D","4",2000,"under treefall (80)"
"FF-7","5754","10-ha","PortoAlegre",3209,"369","E","4",2000,"under treefall (80)"
"FF-7","5754","10-ha","PortoAlegre",3209,"375","E","4",2000,"under treefall (80)"
"FF-7","5754","10-ha","PortoAlegre",3209,"384","B","6",2000,"under treefall (80)"
"FF-7","5754","10-ha","PortoAlegre",3209,"417","D","7",2000,"under treefall (80)"
