"HA.plot","plot","habitat","ranch","bdffp_reserve_no","tag_number","row","column","year","ht","shts","infl","code.notes"
"FF-7","5754","10-ha","PortoAlegre",3209,406,"A","1",1998,24,1,0,NA
"FF-7","5754","10-ha","PortoAlegre",3209,406,"A","1",1999,22,2,0,NA
"FF-7","5754","10-ha","PortoAlegre",3209,406,"A","1",2000,23,2,0,NA
"FF-7","5754","10-ha","PortoAlegre",3209,406,"A","1",2001,19,2,0,NA
"FF-7","5754","10-ha","PortoAlegre",3209,406,"A","1",2002,26,1,0,NA
"FF-7","5754","10-ha","PortoAlegre",3209,406,"A","1",2003,15,1,0,NA
"FF-7","5754","10-ha","PortoAlegre",3209,406,"A","1",2004,NA,NA,NA,NA
"FF-7","5754","10-ha","PortoAlegre",3209,406,"A","1",2005,NA,NA,NA,NA
"FF-7","5754","10-ha","PortoAlegre",3209,406,"A","1",2006,NA,NA,NA,NA
"FF-7","5754","10-ha","PortoAlegre",3209,410,"A","1",1998,33,2,0,NA
"FF-7","5754","10-ha","PortoAlegre",3209,410,"A","1",1999,30,2,0,NA
"FF-7","5754","10-ha","PortoAlegre",3209,410,"A","1",2000,19,2,0,NA
"FF-7","5754","10-ha","PortoAlegre",3209,410,"A","1",2001,19,3,0,NA
"FF-7","5754","10-ha","PortoAlegre",3209,410,"A","1",2002,21,2,0,NA
"FF-7","5754","10-ha","PortoAlegre",3209,410,"A","1",2003,37,3,0,NA
"FF-7","5754","10-ha","PortoAlegre",3209,410,"A","1",2004,26,2,0,NA
"FF-7","5754","10-ha","PortoAlegre",3209,410,"A","1",2005,23,2,0,NA
"FF-7","5754","10-ha","PortoAlegre",3209,410,"A","1",2006,24,2,NA,NA
"FF-7","5754","10-ha","PortoAlegre",3209,469,"A","1",1998,15,2,0,NA
"FF-7","5754","10-ha","PortoAlegre",3209,469,"A","1",1999,11,2,0,NA
"FF-7","5754","10-ha","PortoAlegre",3209,469,"A","1",2000,10,1,0,NA
